,bm_name,compiler,git_hash,hostname,nt_stores_instruction_set,tag,access_size,m0_explicit_hugepages_size,m0_node_count_first_partition,m0_numa_nodes,m0_percentage_pages_first_partition,m0_region_size,m0_transparent_huge_pages,m1_explicit_hugepages_size,m1_node_count_first_partition,m1_numa_nodes,m1_percentage_pages_first_partition,m1_region_size,m1_transparent_huge_pages,min_io_chunk_size,numa_task_nodes,number_partitions,number_threads,operation,run_time,thread_cores,thread_pin_mode,accessed_bytes,bandwidth,execution_time,thread_bandwidth_avg,thread_bandwidth_std_dev,thread_op_latency_avg,thread_op_latency_std_dev,flush_instruction,number_operations,random_distribution,bandwidth_gb
5,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,128,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,11,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20]",single-fixed,38386270208,3.512543991304821,10.177808474,0.31932218102771104,0.0023168663049,370.54545454545456,1.035725481354626,none,110000000.0,uniform,3.7715653921038785
5,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,256,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,11,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20]",single-fixed,38386270208,3.526814972611484,10.136624767,0.32061954296468004,0.002099464359141,738.7272727272727,1.7372915179041821,none,110000000.0,uniform,3.786888741602365
5,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,512,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,11,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20]",single-fixed,38788923392,3.549905608486466,10.176326918,0.32271869168058703,0.01983806036599,1475.4545454545455,89.08127035057778,none,110000000.0,uniform,3.811682123084088
5,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,1024,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,11,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20]",single-fixed,39594229760,3.622019860870256,10.18078349,0.329274532806386,0.009005208294207001,2875.2727272727275,74.37215999161369,none,110000000.0,uniform,3.889114211975055
5,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,2048,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,11,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20]",single-fixed,51002736640,4.687882964879108,10.132505516,0.426171178625373,0.050478399914579,4501.727272727273,519.5396213782142,none,110000000.0,uniform,5.033576005407822
5,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,4096,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,11,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20]",single-fixed,66639101952,6.14620243136824,10.097698651,0.5587456755789311,0.11759883706017701,7075.727272727273,1431.8803784471027,none,110000000.0,uniform,6.59943460933057
5,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,8192,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,11,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20]",single-fixed,80799072256,7.453334364023,10.09615245,0.677575851274818,0.17471114515545702,11882.09090909091,2917.7982265586993,none,110000000.0,uniform,8.002956834907936
5,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,16384,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,11,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20]",single-fixed,90261422080,8.355417631894658,10.060837615,0.759583421081332,0.22111180218912202,21604.909090909092,5969.7471881905585,none,110000000.0,uniform,8.971561368352331
5,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,32768,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,11,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20]",single-fixed,95697240064,8.86435017859596,10.054318501,0.8058500162359961,0.25285380229076804,41251.09090909091,12243.00953568644,none,110000000.0,uniform,9.518023529340352
5,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,65536,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,11,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20]",single-fixed,98985574400,9.153380221639813,10.071415998,0.832125474694528,0.272363876709577,80425.27272727272,24817.132618781357,none,110000000.0,uniform,9.828367174949058
8,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,128,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,12,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20, 28]",single-fixed,41808822272,3.832726973795105,10.159215688,0.31939391448292503,0.001163354193599,371.75,0.9653072991634221,none,110000000.0,uniform,4.1153592517367565
8,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,256,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,12,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20, 28]",single-fixed,41875931136,3.838450470881651,10.160349937,0.31987087257347,0.0021476844840590003,740.3333333333334,1.775250729197188,none,110000000.0,uniform,4.121504809938123
8,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,512,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,12,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20, 28]",single-fixed,41137733632,3.768996709088558,10.165172049,0.31408305909071305,0.018843189823159003,1505.75,84.52447198081964,none,110000000.0,uniform,4.046929401066746
8,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,1024,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,12,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20, 28]",single-fixed,42614128640,3.903587350389324,10.166930169,0.325298945865777,0.008790722803547,2905.6666666666665,71.58635387143322,none,110000000.0,uniform,4.191445001750361
8,random_reads,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,none,,2048,0,18446744073709551615,255,18446744073709551615,7516192768,False,0,18446744073709551615,,18446744073709551615,0,False,67108864,,1,12,read,10,"[0, 8, 16, 24, 32, 40, 48, 56, 4, 12, 20, 28]",single-fixed,53888417792,4.944940610865698,10.149262438,0.41207838423880805,0.047533083754963006,4640.833333333333,492.7311332734818,none,110000000.0,uniform,5.30958955108261
