,index,bm_name,bm_type,compiler,git_hash,hostname,matrix_args,nt_stores_instruction_set,custom_operations,exec_mode,m0_explicit_hugepages_size,m0_node_count_first_partition,m0_numa_nodes,m0_percentage_pages_first_partition,m0_region_size,m0_transparent_huge_pages,m1_explicit_hugepages_size,m1_node_count_first_partition,m1_numa_nodes,m1_percentage_pages_first_partition,m1_region_size,m1_transparent_huge_pages,min_io_chunk_size,numa_task_nodes,number_operations,number_partitions,number_threads,thread_cores,thread_pin_mode,execution_time,num_operations,ops_per_second,thread_ops_per_second_avg,thread_ops_per_second_std_dev,threads
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,11,"[0, 4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",single-fixed,11.313051523,100006410,8839914.659336781,803628.6053942528,8078.457977134077,"[{'execution_time': 11.310767855, 'num_operations': 8965188, 'ops_per_second': 792624.1714913173}, {'execution_time': 11.30101072, 'num_operations': 9043830, 'ops_per_second': 800267.3587411657}, {'execution_time': 11.309490469, 'num_operations': 9004509, 'ops_per_second': 796190.5113835062}, {'execution_time': 11.304897857, 'num_operations': 9004509, 'ops_per_second': 796513.9635847663}, {'execution_time': 11.303264795, 'num_operations': 9122472, 'ops_per_second': 807065.2298648552}, {'execution_time': 11.309351071, 'num_operations': 9135579, 'ops_per_second': 807789.8495366287}, {'execution_time': 11.300682012, 'num_operations': 9056937, 'ops_per_second': 801450.4779784614}, {'execution_time': 11.305283254, 'num_operations': 9227328, 'ops_per_second': 816196.0910386933}, {'execution_time': 11.303328197, 'num_operations': 9083151, 'ops_per_second': 803581.9929930677}, {'execution_time': 11.305428747, 'num_operations': 9109365, 'ops_per_second': 805751.3964180487}, {'execution_time': 11.306981242, 'num_operations': 9253542, 'ops_per_second': 818391.9122132739}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,8,18446744073709551615,8589934592,False,67108864,[0],100000000,1,11,"[0, 4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",single-fixed,11.560994889,100006410,8650329.055603478,786393.5505094071,12709.285707039686,"[{'execution_time': 11.551072773, 'num_operations': 8886546, 'ops_per_second': 769326.4664362443}, {'execution_time': 11.553204318, 'num_operations': 8965188, 'ops_per_second': 775991.4698324995}, {'execution_time': 11.549035375, 'num_operations': 8938974, 'ops_per_second': 774001.7854088527}, {'execution_time': 11.556082603, 'num_operations': 8952081, 'ops_per_second': 774663.9849801704}, {'execution_time': 11.547898167, 'num_operations': 9056937, 'ops_per_second': 784293.1128265118}, {'execution_time': 11.558242139, 'num_operations': 9070044, 'ops_per_second': 784725.2108861534}, {'execution_time': 11.549445033, 'num_operations': 9135579, 'ops_per_second': 790997.2274769127}, {'execution_time': 11.556073238, 'num_operations': 9305970, 'ops_per_second': 805288.2504585595}, {'execution_time': 11.55685029, 'num_operations': 9174900, 'ops_per_second': 793892.7795870928}, {'execution_time': 11.560209644, 'num_operations': 9201114, 'ops_per_second': 795929.6832281565}, {'execution_time': 11.559348196, 'num_operations': 9319077, 'ops_per_second': 806193.9861993928}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,255,18446744073709551615,8589934592,False,67108864,[0],100000000,1,11,"[0, 4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",single-fixed,27.794835606,100006410,3598021.2805580283,327092.84368709347,23010.33694928564,"[{'execution_time': 27.768707395, 'num_operations': 8427801, 'ops_per_second': 303499.93898230564}, {'execution_time': 27.769493266, 'num_operations': 8545764, 'ops_per_second': 307739.28491029167}, {'execution_time': 27.767161611, 'num_operations': 8545764, 'ops_per_second': 307765.1262927279}, {'execution_time': 27.769491493, 'num_operations': 8506443, 'ops_per_second': 306323.32616332796}, {'execution_time': 27.773298971, 'num_operations': 8585085, 'ops_per_second': 309112.90045033087}, {'execution_time': 27.793963955, 'num_operations': 8611299, 'ops_per_second': 309826.2275198378}, {'execution_time': 27.76229939, 'num_operations': 9699180, 'ops_per_second': 349365.15393583186}, {'execution_time': 27.777029783, 'num_operations': 9777822, 'ops_per_second': 352011.0708879388}, {'execution_time': 27.78574036, 'num_operations': 9712287, 'ops_per_second': 349542.13471243996}, {'execution_time': 27.768094365, 'num_operations': 9751608, 'ops_per_second': 351180.3104606023}, {'execution_time': 27.788549219, 'num_operations': 9843357, 'ops_per_second': 354223.4940883403}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,8,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,11,"[0, 4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",single-fixed,27.138472129,100006410,3685042.0143267307,335003.81948424823,7746.479533872928,"[{'execution_time': 27.130091371, 'num_operations': 8768583, 'ops_per_second': 323205.0670265323}, {'execution_time': 27.138472129, 'num_operations': 8938974, 'ops_per_second': 329383.83404598036}, {'execution_time': 27.122083869, 'num_operations': 8925867, 'ops_per_second': 329099.6017530234}, {'execution_time': 27.127147833, 'num_operations': 8912760, 'ops_per_second': 328554.99792564573}, {'execution_time': 27.115436139, 'num_operations': 8978295, 'ops_per_second': 331113.79636216}, {'execution_time': 27.131988706, 'num_operations': 8978295, 'ops_per_second': 330911.7918810916}, {'execution_time': 27.117482324, 'num_operations': 9253542, 'ops_per_second': 341238.97968987573}, {'execution_time': 27.135577764, 'num_operations': 9332184, 'ops_per_second': 343909.5375511312}, {'execution_time': 27.121358913, 'num_operations': 9253542, 'ops_per_second': 341190.2047269662}, {'execution_time': 27.133043018, 'num_operations': 9305970, 'ops_per_second': 342975.53701685584}, {'execution_time': 27.121758202, 'num_operations': 9358398, 'ops_per_second': 345051.30273264874}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,8,18446744073709551615,5368709120,False,0,18446744073709551615,8,18446744073709551615,8589934592,False,67108864,[0],100000000,1,11,"[0, 4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",single-fixed,36.073397607,100006410,2772303.5986106806,252027.59987369823,5207.252172822141,"[{'execution_time': 36.073332369, 'num_operations': 8781690, 'ops_per_second': 243439.9436728124}, {'execution_time': 36.062617877, 'num_operations': 8965188, 'ops_per_second': 248600.58774928297}, {'execution_time': 36.058322563, 'num_operations': 8952081, 'ops_per_second': 248266.7069262359}, {'execution_time': 36.055383495, 'num_operations': 8952081, 'ops_per_second': 248286.9444792186}, {'execution_time': 36.058806852, 'num_operations': 8991402, 'ops_per_second': 249353.84126558513}, {'execution_time': 36.047766362, 'num_operations': 8978295, 'ops_per_second': 249066.6109472051}, {'execution_time': 36.060115131, 'num_operations': 9240435, 'ops_per_second': 256250.8457455318}, {'execution_time': 36.068078789, 'num_operations': 9292863, 'ops_per_second': 257647.85128599993}, {'execution_time': 36.045313737, 'num_operations': 9240435, 'ops_per_second': 256356.0707897189}, {'execution_time': 36.061481495, 'num_operations': 9279756, 'ops_per_second': 257331.52425494936}, {'execution_time': 36.06508274, 'num_operations': 9332184, 'ops_per_second': 258759.53390367847}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,8,18446744073709551615,5368709120,False,0,18446744073709551615,255,18446744073709551615,8589934592,False,67108864,[0],100000000,1,11,"[0, 4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",single-fixed,42.411283673,100006410,2358014.2202502205,214364.9291136564,1692.0249289230178,"[{'execution_time': 42.384671494, 'num_operations': 8978295, 'ops_per_second': 211828.82121124785}, {'execution_time': 42.395872274, 'num_operations': 9161793, 'ops_per_second': 216101.06146155714}, {'execution_time': 42.396720357, 'num_operations': 9083151, 'ops_per_second': 214241.83105475298}, {'execution_time': 42.37963864, 'num_operations': 9122472, 'ops_per_second': 215256.01191393263}, {'execution_time': 42.410628586, 'num_operations': 9148686, 'ops_per_second': 215716.8215851447}, {'execution_time': 42.352806706, 'num_operations': 9214221, 'ops_per_second': 217558.6865815589}, {'execution_time': 42.384064265, 'num_operations': 9004509, 'ops_per_second': 212450.34321627722}, {'execution_time': 42.403801462, 'num_operations': 9070044, 'ops_per_second': 213896.95468997242}, {'execution_time': 42.369749072, 'num_operations': 9030723, 'ops_per_second': 213140.8185744471}, {'execution_time': 42.361698602, 'num_operations': 9070044, 'ops_per_second': 214109.54469072638}, {'execution_time': 42.36847808, 'num_operations': 9122472, 'ops_per_second': 215312.71391846982}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,255,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,11,"[0, 4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",single-fixed,77.904288879,100006410,1283708.6563402014,116700.78694001831,12630.085957177145,"[{'execution_time': 77.887509983, 'num_operations': 8100126, 'ops_per_second': 103997.75267906192}, {'execution_time': 77.904288879, 'num_operations': 8244303, 'ops_per_second': 105826.0478162499}, {'execution_time': 77.881400099, 'num_operations': 8244303, 'ops_per_second': 105857.14932602832}, {'execution_time': 77.830401471, 'num_operations': 8270517, 'ops_per_second': 106263.32183422742}, {'execution_time': 77.842820508, 'num_operations': 8270517, 'ops_per_second': 106246.3685928496}, {'execution_time': 77.851358349, 'num_operations': 8296731, 'ops_per_second': 106571.43530889429}, {'execution_time': 77.807296445, 'num_operations': 10066176, 'ops_per_second': 129373.16241434404}, {'execution_time': 77.901846443, 'num_operations': 10118604, 'ops_per_second': 129889.14206807257}, {'execution_time': 77.894065056, 'num_operations': 10092390, 'ops_per_second': 129565.58362622785}, {'execution_time': 77.845417996, 'num_operations': 10118604, 'ops_per_second': 129983.2958764501}, {'execution_time': 77.820350164, 'num_operations': 10184139, 'ops_per_second': 130867.29857341637}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,255,18446744073709551615,5368709120,False,0,18446744073709551615,8,18446744073709551615,8589934592,False,67108864,[0],100000000,1,11,"[0, 4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",single-fixed,85.921884137,100006410,1163922.4512412066,105811.13193101878,8081.120428469008,"[{'execution_time': 85.921822399, 'num_operations': 8375373, 'ops_per_second': 97476.66851276511}, {'execution_time': 85.829783763, 'num_operations': 8519550, 'ops_per_second': 99260.99806478433}, {'execution_time': 85.825083954, 'num_operations': 8467122, 'ops_per_second': 98655.56326793873}, {'execution_time': 85.810019616, 'num_operations': 8519550, 'ops_per_second': 99283.86030122126}, {'execution_time': 85.87556612, 'num_operations': 8493336, 'ops_per_second': 98902.82397826246}, {'execution_time': 85.91133926, 'num_operations': 8558871, 'ops_per_second': 99624.46254152364}, {'execution_time': 85.859177119, 'num_operations': 9764715, 'ops_per_second': 113729.42680857748}, {'execution_time': 85.823035269, 'num_operations': 9804036, 'ops_per_second': 114235.48432271888}, {'execution_time': 85.918616055, 'num_operations': 9790929, 'ops_per_second': 113955.8508918769}, {'execution_time': 85.873375932, 'num_operations': 9817143, 'ops_per_second': 114321.1489411321}, {'execution_time': 85.889259144, 'num_operations': 9895785, 'ops_per_second': 115215.62880649547}]"
0,0,tree_index_lookup,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024",custom,0,18446744073709551615,255,18446744073709551615,5368709120,False,0,18446744073709551615,255,18446744073709551615,8589934592,False,67108864,[0],100000000,1,11,"[0, 4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",single-fixed,107.468341529,100006410,930566.2353876893,84596.93048978994,8963.259833255144,"[{'execution_time': 107.468273865, 'num_operations': 8087019, 'ops_per_second': 75250.29210163727}, {'execution_time': 107.394954203, 'num_operations': 8322945, 'ops_per_second': 77498.47338514443}, {'execution_time': 107.394449337, 'num_operations': 8231196, 'ops_per_second': 76644.51981285175}, {'execution_time': 107.33193255, 'num_operations': 8322945, 'ops_per_second': 77543.97784762518}, {'execution_time': 107.434420091, 'num_operations': 8244303, 'ops_per_second': 76738.00438459891}, {'execution_time': 107.431797755, 'num_operations': 8336052, 'ops_per_second': 77593.89840064396}, {'execution_time': 107.390209372, 'num_operations': 10053069, 'ops_per_second': 93612.52816982729}, {'execution_time': 107.382442115, 'num_operations': 10092390, 'ops_per_second': 93985.47659394512}, {'execution_time': 107.434709833, 'num_operations': 10079283, 'ops_per_second': 93817.75234156229}, {'execution_time': 107.348427552, 'num_operations': 10079283, 'ops_per_second': 93893.15921854146}, {'execution_time': 107.324927341, 'num_operations': 10157925, 'ops_per_second': 94646.46519373411}]"
1,1,tree_index_update,single,gcc 12.3,af31544015912fb3c6bf350088c63bd4c9f39ac3-dirty,gp03,"['custom_operations', 'numa_memory_nodes', 'number_threads', 'secondary_numa_memory_nodes']",none,"m0_r_2048,m0_r_2048,m1_r_1024,m1_w_128_none_512,m1_w_128_none_-512,m1_w_128_none",custom,0,18446744073709551615,0,18446744073709551615,5368709120,False,0,18446744073709551615,0,18446744073709551615,8589934592,False,67108864,[0],100000000,1,11,"[0, 4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",single-fixed,11.952402169,100010976,8367437.322297484,760676.1202088621,5944.81559880896,"[{'execution_time': 11.952402169, 'num_operations': 9034272, 'ops_per_second': 755854.0845815476}, {'execution_time': 11.929579813, 'num_operations': 9095232, 'ops_per_second': 762410.0884164142}, {'execution_time': 11.931903517, 'num_operations': 9046464, 'ops_per_second': 758174.4176116606}, {'execution_time': 11.921915401, 'num_operations': 9046464, 'ops_per_second': 758809.612022678}, {'execution_time': 11.931866756, 'num_operations': 9168384, 'ops_per_second': 768394.7690238522}, {'execution_time': 11.924573466, 'num_operations': 9168384, 'ops_per_second': 768864.7334968753}, {'execution_time': 11.927156434, 'num_operations': 9022080, 'ops_per_second': 756431.7656035196}, {'execution_time': 11.923304299, 'num_operations': 9192768, 'ops_per_second': 770991.645392376}, {'execution_time': 11.927455242, 'num_operations': 9046464, 'ops_per_second': 758457.1743471985}, {'execution_time': 11.927251708, 'num_operations': 9034272, 'ops_per_second': 757447.9202061625}, {'execution_time': 11.924950631, 'num_operations': 9156192, 'ops_per_second': 767818.021501711}]"
